county,stfips,state,county_name,county_join,county_code,county_state,ln_hh_inc_x,ln_hh_inc_y,Total,ln_co_x,pm10_x,al_pwn_gm_env_rate_ln_x,ed_env_rate_ln_y,ss_env_rate_ln_y,hc_env_rate_ln_x,commute_time_y,fungicide_ln_y,herbicide_ln_y,insecticide_ln_y,pct_unemp_total_y,pct_fam_pov_y,gini_est_y,eqi_2jan2018_vc,population,infectious,neoplasms,blood,endocrine,mental,nervous,circulatory,respiratory,digestive,musculoskeletal,genitourinary,perinatal,abnormal,external,skin,congenital,pregnancy,superfund,std_coal_prim_pop_ln_y,gini_est_x,insecticide_ln_x,region,eqi_level,income_level,eqi,income,rate,log_rate
"Abbeville County, SC",45001,SC,Abbeville County,"abbeville county, sc",45001,NA,9.1977615,9.1977615,1360,-0.961675029,17.73466358,-8.756878853,-6.559654713,-6.965119839,-6.191929817,25.1,5.742281774,9.046463658,5.328967806,14.4,16.3,0.448,0.771441162,128296,27,332,NA,49,92,68,438,132,51,NA,42,NA,24,77,NA,NA,NA,NA,-14.28535668,0.448,5.328967806,,"[ 0.700, 2.831]","[ 8.36, 9.20)",Highest,Third,0.010600486375257217,-4.5468553944585475
"Acadia Parish, LA",22001,LA,Acadia Parish,"acadia parish, la",22001,NA,9.9980698,9.9980698,3149,-1.231225565,18.61705732,-7.119198799,-6.754555702,-6.624502182,-5.805474758,28.9,8.862993217,11.24543342,9.560052549,6.7,17.2,0.452,0.794457316,305623,98,760,19,89,92,196,1022,229,81,16,115,18,95,291,NA,19,NA,NA,-14.28535668,0.452,9.560052549,,"[ 0.700, 2.831]","[ 9.20,10.14)",Highest,Second,0.010303543908671794,-4.575267374121557
"Accomack County, VA",51001,VA,Accomack County,"accomack county, va",51001,NA,9.552866,9.552866,2232,-0.771210077,18.97040758,-7.636631489,-6.912712574,-5.931883335,-5.909410477,20,8.564580785,11.44338021,8.974527317,9.2,9.7,0.471,-0.371982932,170294,71,537,12,84,75,176,717,201,60,14,65,13,34,162,NA,NA,NA,NA,-10.38870142,0.471,8.974527317,,"[-0.561, 0.114)","[ 9.20,10.14)",Third,Second,0.013106744806041317,-4.334628310585289
"Ada County, ID",16001,ID,Ada County,"ada county, id",16001,NA,11.888509,11.888509,11324,-0.487171981,21.72153675,-7.817352772,-6.746549606,-6.132361412,-5.294158936,19.3,8.022877744,10.01770163,8.637219635,6.6,6.9,0.435,-0.086080924,1902426,152,2653,36,426,722,871,3245,1143,410,80,223,88,265,933,16,55,NA,NA,-14.28535668,0.435,8.637219635,,"[-0.561, 0.114)","[10.14,14.98]",Third,Highest,0.0059523997254032485,-5.123960825540487
"Adair County, IA",19001,IA,Adair County,"adair county, ia",19001,NA,8.1341743,8.1341743,539,-0.954362032,18.27201373,-7.154875755,-6.54873991,-5.950902939,-5.727759361,21,7.951603344,11.84094349,8.978411467,4.5,5.7,0.408,-0.221567646,38900,NA,124,NA,18,18,24,194,69,21,NA,18,NA,NA,32,NA,NA,NA,NA,-14.28535668,0.408,8.978411467,,"[-0.561, 0.114)","[ 3.09, 8.36)",Third,Lowest,0.013856041131105399,-4.27903395869754
"Adair County, KY",21001,KY,Adair County,"adair county, ky",21001,NA,8.8917866,8.8917866,898,-0.803439587,15.58402125,-8.735310555,-6.94355154,-6.250404358,-5.902097702,23.1,5.992630534,9.737497901,7.195474851,11,17.7,0.462,1.261592865,92754,26,202,NA,34,NA,22,350,116,21,NA,30,NA,NA,72,NA,NA,NA,NA,-14.28535668,0.462,7.195474851,,"[ 0.700, 2.831]","[ 8.36, 9.20)",Highest,Third,0.009681523168812127,-4.63753603792219
"Adair County, MO",29001,MO,Adair County,"adair county, mo",29001,NA,9.1678505,9.1678505,1006,-1.247658605,16.44892173,-7.106098652,-6.783325195,-5.902125835,-5.252781391,13.9,6.053147432,10.57008069,7.151511587,5.8,12.5,0.479,-0.011264918,126573,21,223,NA,38,27,29,335,126,34,NA,62,NA,12,70,NA,NA,NA,NA,-14.28535668,0.479,7.151511587,,"[-0.561, 0.114)","[ 8.36, 9.20)",Third,Third,0.007947982587123635,-4.834837145145038
"Adair County, OK",40001,OK,Adair County,"adair county, ok",40001,NA,8.9770203,8.9770203,1099,-1.234076339,17.54099635,-7.631475925,-6.563635349,-6.893877029,-6.697166443,25.2,5.612671798,10.27263814,5.300606411,4.5,23.2,0.444,0.821957648,112066,20,261,NA,89,14,49,365,125,34,NA,26,NA,10,84,NA,NA,NA,NA,-14.28535668,0.444,5.300606411,,"[ 0.700, 2.831]","[ 8.36, 9.20)",Highest,Third,0.009806721039387505,-4.624687308027251
"Adams County, CO",8001,CO,Adams County,"adams county, co",08001,"Adams County, CO",11.904636,11.904636,11554,-0.82981779,23.32814658,-7.426012516,-7.071240425,-7.014230251,-6.08542347,28.4,8.600496731,11.91189882,9.080623599,7.9,11.2,0.403,0.833622098,2124537,278,2699,36,510,532,694,2859,1393,582,70,283,126,84,1303,25,78,NA,TRUE,-14.28535668,0.403,9.080623599,,"[ 0.700, 2.831]","[10.14,14.98]",Highest,Highest,0.005438361393564809,-5.214277477906694
"Adams County, IA",19003,IA,Adams County,"adams county, ia",19003,NA,7.4753394,7.4753394,247,-0.952237878,17.46417885,-6.691835403,-6.221831799,-5.816366673,-5.210230827,20.2,7.409701598,11.37310692,8.391599734,2.9,6,0.458,-1.5952289100000001,20646,NA,58,NA,11,NA,15,102,12,12,NA,NA,NA,NA,15,NA,NA,NA,NA,-14.28535668,0.458,8.391599734,,"[-6.786,-0.561)","[ 3.09, 8.36)",Lowest,Lowest,0.011963576479705511,-4.425888538397558
